LSOA21CD,Local Authority name,dpi normalized,Pct of population speaks no or little English normalized,Pct unemployed or econ inactive normalized,Pct household deprivation normalized,score,LSOA21 Name,pcds
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2HH
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2HJ
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2JT
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2JU
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2JW
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2JY
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2LB
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2LD
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2LE
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2LH
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE1 2LX
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6AD
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6AE
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6AF
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6AL
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6AP
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6AT
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6AX
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6AZ
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BA
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BD
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BF
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BG
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BH
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BJ
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BL
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BQ
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BX
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BY
E01013720,Leicester,4.17,7.54,5.46,9.28,26.45,Leicester 010F,LE4 6BZ
